id_kelas,nama_kelas,id_waktu,nama_mapel,id_guru,id_ruang,fitness
14,IX A,3,Matematika,31,25,0.0017006802721088435
14,IX A,3,Informatika,7,25,0.0017006802721088435
14,IX A,4,Matematika,31,25,0.0017006802721088435
14,IX A,7,Matematika,31,25,0.0017006802721088435
14,IX A,8,PJOK,2,2,0.0017006802721088435
14,IX A,10,Bahasa Inggris,12,25,0.0017006802721088435
14,IX A,11,Seni Budaya dan Prakarya,15,25,0.0017006802721088435
14,IX A,13,IPA,25,25,0.0017006802721088435
14,IX A,13,PJOK,2,3,0.0017006802721088435
14,IX A,14,IPS,33,25,0.0017006802721088435
14,IX A,15,Bahasa Indonesia,30,25,0.0017006802721088435
14,IX A,15,IPA,25,25,0.0017006802721088435
14,IX A,15,IPS,33,25,0.0017006802721088435
14,IX A,16,PAI,32,25,0.0017006802721088435
14,IX A,16,Informatika,7,25,0.0017006802721088435
14,IX A,20,Seni Budaya dan Prakarya,15,25,0.0017006802721088435
14,IX A,23,IPA,25,25,0.0017006802721088435
14,IX A,26,Bahasa Indonesia,30,25,0.0017006802721088435
14,IX A,27,Pendidikan Pancasila,34,25,0.0017006802721088435
14,IX A,27,PJOK,2,2,0.0017006802721088435
14,IX A,27,Seni Budaya dan Prakarya,15,25,0.0017006802721088435
14,IX A,31,IPS,33,25,0.0017006802721088435
14,IX A,31,Pendidikan Pancasila,34,25,0.0017006802721088435
14,IX A,32,PAI,32,25,0.0017006802721088435
14,IX A,34,Bahasa Inggris,12,25,0.0017006802721088435
14,IX A,35,Informatika,7,25,0.0017006802721088435
14,IX A,38,Bahasa Indonesia,30,25,0.0017006802721088435
14,IX A,38,PAI,32,25,0.0017006802721088435
14,IX A,39,Matematika,31,25,0.0017006802721088435
14,IX A,39,IPA,25,25,0.0017006802721088435
14,IX A,39,IPA,25,25,0.0017006802721088435
14,IX A,42,Bahasa Indonesia,30,25,0.0017006802721088435
14,IX A,42,IPS,33,25,0.0017006802721088435
14,IX A,44,Bahasa Indonesia,30,25,0.0017006802721088435
14,IX A,47,Bahasa Inggris,12,25,0.0017006802721088435
14,IX A,49,Bahasa Inggris,12,25,0.0017006802721088435
14,IX A,52,Matematika,31,25,0.0017006802721088435
14,IX A,54,Bahasa Indonesia,30,25,0.0017006802721088435
14,IX A,55,Pendidikan Pancasila,34,25,0.0017006802721088435
15,IX B,2,Informatika,7,26,0.0017006802721088435
